histogram
Color : blue
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,3,5,9,12,26,43,55,80,94,133,178,224,283,328,407,450,492,608,594,653,597,590,519,506,452,469,492,499,556,571,628,631,611,576,580,548,529,510,498,504,512,504,551,484,535,576,516,586,571,628,598,551,555,518,524,513,460,450,470,458,508,486,521,538,502,517,509,460,482,500,482,488,506,526,592,578,593,565,557,492,477,410,388,362,318,280,211,183,185,147,162,162,168,151,154,154,163,141,152,147,154,156,159,137,144,163,142,170,154,192,198,203,160,168,166,164,181,151,154,151,144,157,120,141,129,122,143,127,106,103,90,96,85,96,98,88,128,111,122,103,100,98,92,89,79,65,54,42,36,26,29,19,28,25,23,16,14,13,15,13,10,3,9,5,8,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Color : green
15,5,14,7,23,27,28,33,61,62,70,99,106,129,159,164,201,218,329,307,357,379,395,418,358,390,379,371,373,314,273,262,286,236,197,229,196,190,175,173,208,182,200,204,196,185,193,184,160,202,168,191,174,202,191,190,177,199,205,225,252,302,321,319,368,415,395,362,363,345,329,315,287,271,252,275,249,272,282,258,268,246,254,284,263,297,269,287,318,281,349,356,387,414,397,404,388,342,396,407,313,316,330,312,331,253,280,268,269,292,290,293,342,288,318,312,269,287,297,290,286,289,300,314,335,341,336,348,339,403,344,351,361,323,369,370,360,353,337,312,288,250,231,222,218,211,190,170,184,187,180,194,165,148,154,171,165,170,148,151,103,119,126,110,98,89,87,87,88,89,97,82,100,114,99,93,66,85,108,115,119,114,123,130,138,154,141,148,131,126,112,123,114,129,116,121,159,119,145,120,143,149,135,146,145,125,119,106,86,91,71,63,60,49,50,33,30,32,24,16,23,14,7,16,7,5,7,8,6,3,2,2,4,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Color : red
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,3,3,3,2,0,4,7,9,11,14,16,14,27,31,28,35,44,52,53,67,62,88,101,108,145,133,174,180,225,205,299,299,274,290,283,274,272,296,280,268,255,247,274,277,249,237,225,203,190,196,165,183,156,149,143,130,122,123,109,123,119,89,122,120,107,122,120,117,119,122,116,121,121,122,141,120,110,154,136,121,128,120,140,140,121,140,131,125,157,141,142,147,129,130,136,153,151,140,149,180,134,150,188,163,162,132,178,149,155,202,193,222,225,242,285,318,342,363,349,353,332,296,250,265,252,220,247,210,268,287,290,315,330,340,357,360,393,376,331,358,351,331,362,426,458,467,537,589,586,589,615,610,591,500,485,443,460,443,453,541,553,650,731,764,790,820,764,718,556,480,474,409,412,345,387,329,431,419,407,453,416,352,288,263,207,131,131,147,137,106,74,87,61,46,33,26,16,29,
